75 4200
1 41 2169
1 18 6270
1 46 1029
1 74 3404
1 63 1478
1 68 5146
1 33 1323
1 14 4332
1 2 1809
1 73 5056
1 40 100
1 16 3654
1 11 1920
1 72 4838
1 12 3219
1 66 2448
1 28 952
1 75 1805
1 17 2112
1 42 4244
1 43 1778
1 7 3089
1 5 4176
1 67 5908
1 69 4714
1 47 5297
1 30 3058
1 71 4797
1 34 5637
1 48 2221
1 39 3667
1 20 2964
1 13 2367
1 23 2484
1 45 3099
1 6 3141
1 59 6168
1 56 1159
1 53 2496
1 4 1831
1 35 1062
1 65 3354
1 58 689
1 50 5506
1 9 5588
1 60 739
1 19 2735
1 49 3218
1 52 5111
1 36 557
1 70 2565
1 24 2864
1 21 930
1 57 2257
1 38 2551
1 26 207
1 3 5973
1 62 1933
2 63 425
2 20 3776
2 45 4123
2 17 6044
2 58 4876
2 39 4986
2 52 4607
2 15 1196
2 1 5875
2 42 5717
2 55 2968
2 61 860
2 75 4907
2 4 6074
2 46 5578
2 14 137
2 32 348
2 56 5973
2 60 6256
2 50 5118
2 53 4348
2 22 2964
2 24 761
2 67 2098
2 57 4814
2 19 4379
2 16 5078
2 37 5387
2 40 2420
2 48 3233
2 5 3523
2 73 4811
2 26 1544
2 7 2478
2 72 458
2 41 222
2 21 1019
2 68 4069
2 3 947
2 28 3077
2 36 2513
2 30 1496
2 11 110
2 8 5927
2 49 899
2 10 2316
2 25 4025
2 33 4856
2 69 1961
2 34 4923
2 18 479
2 6 1548
2 54 284
2 71 2356
2 12 2876
2 44 5469
2 29 876
2 74 1675
3 25 4240
3 54 4044
3 61 2576
3 14 3299
3 53 6241
3 57 6189
3 23 6291
3 22 5930
3 1 978
3 6 945
3 36 2047
3 32 478
3 24 4931
3 68 2784
3 16 2893
3 64 2677
3 69 3722
3 49 5904
3 26 702
3 60 6211
3 39 6052
3 41 3603
3 40 659
3 33 1575
3 5 3353
3 13 1669
3 18 6196
3 47 5565
3 17 1773
3 8 3682
3 27 3547
3 12 5159
3 11 3177
3 42 899
3 45 4858
3 56 1151
3 44 4403
3 31 3567
3 70 4845
3 20 3020
3 9 545
3 48 2683
3 55 2113
3 37 1217
3 59 2998
3 19 2805
3 28 487
3 63 1546
3 73 3915
3 10 2975
3 66 1896
3 35 1101
3 7 4462
3 30 2866
3 34 2785
4 73 492
4 28 2234
4 3 1899
4 69 3862
4 47 2882
4 53 815
4 46 2521
4 66 5157
4 20 3270
4 49 2607
4 15 2429
4 71 2933
4 9 1713
4 65 4991
4 58 3662
4 74 5292
4 63 4790
4 40 3224
4 41 358
4 34 6054
4 56 6277
4 42 5949
4 1 3957
4 24 5208
4 55 2669
4 35 960
4 57 565
4 50 4963
4 48 4720
4 19 4528
4 45 5227
4 17 3784
4 26 325
4 32 5082
4 16 4307
4 43 2203
4 44 3372
4 75 4501
4 59 4173
4 62 1219
4 5 2235
4 33 4400
4 61 6189
4 18 2089
4 27 5877
4 7 5039
4 22 2004
4 72 923
4 39 2652
4 70 3301
4 23 4469
4 6 4441
4 25 168
4 31 441
4 68 1959
4 37 3620
4 64 498
4 30 1280
4 12 216
4 51 567
4 29 3839
4 52 5189
4 8 4378
4 11 2785
4 21 5737
4 60 1314
4 67 5931
4 36 5427
5 50 1056
5 18 70
5 9 2765
5 19 1019
5 10 5031
5 74 2614
5 17 2644
5 41 5318
5 32 1184
5 27 2919
5 22 1077
5 46 203
5 45 4612
5 60 3534
5 39 2354
5 6 2827
5 69 5675
5 23 4816
5 59 2487
5 35 927
5 44 1404
5 14 5764
5 56 2559
5 7 4002
5 48 2309
5 16 4643
5 25 4752
5 13 4362
5 42 3690
5 26 6272
5 64 1853
5 55 4934
5 51 958
5 24 2293
5 75 1762
5 57 5808
5 53 3795
5 37 3391
5 58 2545
5 30 2482
5 29 1509
5 28 5976
5 47 4475
5 31 4917
5 1 5421
5 15 3447
5 20 2417
5 70 3181
5 73 5962
5 68 6137
5 8 5609
5 33 6228
6 17 2707
6 2 160
6 47 4679
6 10 2260
6 66 6160
6 46 3251
6 42 5487
6 51 1569
6 5 2512
6 59 4145
6 15 2457
6 11 1703
6 26 2103
6 40 2180
6 31 357
6 60 6153
6 14 3346
6 56 4671
6 3 5720
6 52 5055
6 64 328
6 13 549
6 50 4662
6 48 5634
6 41 6210
6 12 3940
6 24 5908
6 7 1916
6 44 2833
6 39 1564
6 75 4658
6 34 3558
6 8 2425
6 21 4151
6 71 5059
6 69 5391
6 27 3965
6 63 3991
6 61 5862
6 30 3737
6 4 1516
6 20 4079
6 37 2596
6 36 398
6 29 2790
6 18 2141
6 58 5549
6 19 4342
6 16 4744
6 25 5974
6 55 3275
6 62 1195
6 74 2956
6 67 622
6 35 1388
6 28 5848
6 65 4299
6 68 2783
6 72 1583
6 22 5372
7 12 1132
7 49 2542
7 64 3436
7 23 2992
7 33 883
7 2 3319
7 28 3149
7 54 1997
7 36 4711
7 68 3423
7 1 4796
7 29 2747
7 67 3041
7 6 1860
7 4 4891
7 8 2111
7 71 5393
7 24 4416
7 55 4634
7 73 2011
7 9 3167
7 3 5608
7 45 1368
7 41 6054
7 43 2926
7 30 2655
7 34 760
7 13 1350
7 10 3846
7 18 2802
7 69 2766
7 31 3049
7 63 3107
7 70 2033
7 74 3950
7 50 5329
7 66 3980
7 56 4452
7 16 2379
7 44 2855
7 21 245
7 40 3216
7 61 1973
7 42 6147
7 20 4632
7 5 115
7 38 1817
7 72 6032
7 14 1287
7 15 2877
7 19 4147
7 26 570
7 39 4808
7 11 166
7 47 2197
7 35 5977
7 27 4491
7 46 1554
7 57 289
8 39 2550
8 22 2013
8 38 3373
8 24 5052
8 64 5729
8 30 4245
8 19 666
8 45 1713
8 41 745
8 26 3100
8 29 1815
8 66 2329
8 52 1094
8 42 4979
8 54 2051
8 37 6141
8 34 2904
8 17 2348
8 10 2679
8 6 1213
8 48 5828
8 40 3076
8 28 5820
8 73 3934
8 1 2093
8 3 4725
8 35 2274
8 60 660
8 67 5495
8 75 1653
8 63 5154
8 27 309
8 44 5196
8 43 3495
8 9 4105
8 31 303
8 68 1686
8 33 5231
8 57 3124
8 14 4868
8 56 4815
8 65 5356
8 49 4998
8 23 1398
8 74 2317
8 4 460
8 13 4762
8 36 521
8 71 3339
8 12 769
8 2 3415
8 32 1260
8 46 5765
8 5 5016
8 61 4426
8 50 1429
8 7 6202
8 55 3516
8 69 5334
8 53 5423
8 62 5665
9 11 1346
9 6 5560
9 36 4951
9 15 2143
9 21 2963
9 23 6198
9 12 5738
9 34 6083
9 19 3107
9 31 4303
9 41 3447
9 61 6176
9 42 1731
9 18 2572
9 1 5019
9 73 702
9 39 1055
9 66 1710
9 69 874
9 7 1694
9 51 1702
9 24 3908
9 29 1043
9 22 947
9 56 3131
9 74 4561
9 35 3499
9 8 5631
9 68 5940
9 75 4137
9 47 1754
9 20 2040
9 28 158
9 4 5402
9 17 5912
9 26 6108
9 65 5676
9 57 2949
9 10 655
9 16 3169
9 44 2070
9 13 3582
9 60 4657
9 63 1600
9 43 5195
9 32 4283
9 58 4890
9 48 943
9 72 238
9 25 962
9 67 2187
9 2 5292
9 62 724
9 55 4795
9 71 4185
9 70 4787
9 5 5944
9 27 1699
9 59 3792
9 33 1251
9 30 4637
10 69 4684
10 42 2984
10 67 1645
10 5 1993
10 4 4980
10 44 2454
10 34 2301
10 12 4383
10 11 4195
10 2 4596
10 36 4343
10 64 4440
10 39 3474
10 59 4850
10 63 4077
10 66 518
10 15 1950
10 74 4738
10 52 2839
10 57 4743
10 48 1264
10 35 3789
10 61 1947
10 43 4812
10 14 5993
10 21 4671
10 23 1381
10 68 4253
10 73 3578
10 9 4969
10 17 44
10 27 4737
10 6 6238
10 72 2683
10 60 5288
10 41 4475
10 29 5803
10 47 3973
10 7 2990
10 31 3803
10 58 3597
10 71 1675
10 46 4992
10 38 686
10 56 4906
10 3 1641
10 26 1218
10 20 6161
10 51 1252
10 49 2180
10 62 6252
10 33 4519
11 7 1
11 63 4065
11 18 2494
11 45 1534
11 37 531
11 74 101
11 67 3463
11 72 3298
11 70 850
11 38 4789
11 51 5995
11 17 476
11 58 1234
11 29 2668
11 50 5599
11 68 4245
11 33 4079
11 24 1780
11 59 958
11 8 4944
11 36 320
11 21 5142
11 39 1210
11 57 3447
11 2 1828
11 19 2480
11 28 2095
11 62 3653
11 13 367
11 23 1935
11 49 5722
11 60 238
11 40 6283
11 6 1543
11 3 6104
11 27 6225
11 73 243
11 5 2813
11 43 2604
11 47 701
11 66 3904
11 41 5794
11 46 1433
11 26 3015
11 55 3081
11 34 2047
11 31 2221
11 20 4157
11 4 4858
11 12 4519
11 69 3231
11 42 1135
11 56 5805
12 3 5044
12 27 6102
12 43 5616
12 7 5053
12 28 2494
12 74 4947
12 33 750
12 62 1348
12 75 1701
12 34 4920
12 73 4028
12 17 2394
12 4 5713
12 71 6293
12 32 3837
12 38 1894
12 56 2760
12 68 4568
12 70 4102
12 39 1850
12 58 1695
12 11 5140
12 23 2999
12 54 3000
12 69 5530
12 18 1271
12 63 1619
12 42 4998
12 14 3634
12 31 2204
12 29 1533
12 60 1571
12 10 3487
12 6 5946
12 5 3674
12 21 5523
12 48 5850
12 13 3425
12 52 809
12 59 2606
12 44 3233
12 30 1907
12 40 5889
12 46 3055
12 49 1045
12 57 2128
12 8 3996
12 61 981
12 47 462
12 37 4474
12 64 515
13 51 5472
13 34 3287
13 2 589
13 46 2670
13 59 3764
13 55 2463
13 58 3363
13 24 725
13 21 2484
13 49 5972
13 48 2311
13 69 6156
13 31 1652
13 29 4964
13 39 6246
13 11 3831
13 38 596
13 10 3992
13 26 4442
13 1 3873
13 36 3410
13 28 5950
13 63 156
13 9 1441
13 35 5866
13 61 3831
13 70 3871
13 53 3657
13 14 3178
13 68 3026
13 52 4469
13 32 1775
13 71 1900
13 37 438
13 33 1107
13 6 3632
13 30 3826
13 44 1599
13 65 5666
13 18 902
13 54 676
13 12 501
13 41 516
13 43 5057
13 66 4411
13 40 1724
13 22 659
13 50 1226
13 60 1788
13 5 1173
13 27 1363
13 42 774
13 25 2053
13 67 5741
14 43 4174
14 65 6209
14 4 360
14 59 5072
14 19 3432
14 7 5469
14 1 1785
14 50 677
14 49 2202
14 3 1170
14 28 3719
14 57 2039
14 74 5158
14 27 4097
14 26 538
14 32 1274
14 21 4694
14 5 824
14 13 5398
14 68 1040
14 23 1679
14 53 2813
14 37 4028
14 60 3911
14 12 3136
14 52 928
14 20 1119
14 75 3600
14 51 896
14 63 3325
14 6 653
14 2 3125
14 71 2263
14 56 2602
14 73 4261
14 24 2750
14 72 4479
14 16 880
14 69 3796
14 67 2545
14 54 1703
14 8 3311
14 66 187
14 44 6018
14 38 64
14 35 1658
14 42 4286
14 62 6165
14 22 944
14 15 5711
14 10 1102
14 18 1061
14 36 5431
14 46 5967
14 61 4738
14 40 5821
14 30 6055
14 39 5760
14 31 2379
15 60 5819
15 44 297
15 29 2165
