70 4830
1 2 5578
1 3 2952
1 4 1785
1 5 1211
1 6 1853
1 7 771
1 8 4104
1 9 1569
1 10 2973
1 11 2914
1 12 4303
1 13 2280
1 14 5384
1 15 6871
1 16 5319
1 17 2514
1 18 3158
1 19 1954
1 20 3519
1 21 3566
1 22 2855
1 23 1200
1 24 3136
1 25 5223
1 26 2885
1 27 6845
1 28 5322
1 29 6273
1 30 640
1 31 2059
1 32 5886
1 33 4970
1 34 2809
1 35 5270
1 36 1734
1 37 5910
1 38 7132
1 39 5254
1 40 3197
1 41 7158
1 42 3159
1 43 5045
1 44 2900
1 45 273
1 46 42
1 47 5243
1 48 4802
1 49 5360
1 50 3400
1 51 6355
1 52 1099
1 53 2244
1 54 7056
1 55 2786
1 56 1350
1 57 2953
1 58 6025
1 59 4866
1 60 4526
1 61 2762
1 62 6435
1 63 2562
1 64 4321
1 65 4257
1 66 3798
1 67 3724
1 68 5781
1 69 5864
1 70 4975
2 1 2687
2 3 1385
2 4 4503
2 5 5269
2 6 4292
2 7 6887
2 8 1472
2 9 5422
2 10 1399
2 11 6055
2 12 6709
2 13 590
2 14 3452
2 15 6891
2 16 4507
2 17 703
2 18 5123
2 19 2280
2 20 6732
2 21 2079
2 22 6355
2 23 6467
2 24 1392
2 25 2306
2 26 2838
2 27 2769
2 28 2877
2 29 305
2 30 4093
2 31 1327
2 32 2768
2 33 6662
2 34 1406
2 35 2010
2 36 6547
2 37 1839
2 38 7359
2 39 6104
2 40 444
2 41 6414
2 42 3049
2 43 2891
2 44 5793
2 45 2160
2 46 5651
2 47 1729
2 48 2870
2 49 265
2 50 4713
2 51 6518
2 52 2921
2 53 4165
2 54 2912
2 55 2509
2 56 5071
2 57 6212
2 58 844
2 59 4528
2 60 2838
2 61 1460
2 62 5551
2 63 7216
2 64 5633
2 65 6537
2 66 662
2 67 5571
2 68 6599
2 69 32
2 70 606
3 1 2322
3 2 3566
3 4 2549
3 5 4439
3 6 4181
3 7 3257
3 8 6576
3 9 4608
3 10 809
3 11 5570
3 12 1509
3 13 5826
3 14 5922
3 15 1924
3 16 6008
3 17 2646
3 18 1944
3 19 6416
3 20 3930
3 21 3420
3 22 6657
3 23 6009
3 24 1128
3 25 1993
3 26 6979
3 27 4097
3 28 2542
3 29 5453
3 30 1996
3 31 374
3 32 3796
3 33 3465
3 34 6702
3 35 1639
3 36 4448
3 37 7305
3 38 5077
3 39 4675
3 40 4705
3 41 5396
3 42 5403
3 43 5336
3 44 7378
3 45 4456
3 46 300
3 47 1315
3 48 2094
3 49 3131
3 50 4119
3 51 557
3 52 2697
3 53 1542
3 54 6000
3 55 6426
3 56 2354
3 57 6958
3 58 1987
3 59 3777
3 60 901
3 61 5205
3 62 1455
3 63 1689
3 64 1253
3 65 6772
3 66 5373
3 67 3762
3 68 5608
3 69 3971
3 70 1727
4 1 3156
4 2 589
4 3 693
4 5 4115
4 6 937
4 7 6911
4 8 2215
4 9 744
4 10 6036
4 11 1199
4 12 3805
4 13 1455
4 14 4652
4 15 6348
4 16 5834
4 17 6751
4 18 7029
4 19 5676
4 20 842
4 21 4727
4 22 7484
4 23 4823
4 24 5717
4 25 171
4 26 3219
4 27 2648
4 28 4790
4 29 5667
4 30 7225
4 31 160
4 32 494
4 33 2823
4 34 437
