70 4830
1 2 6011
1 3 3719
1 4 2072
1 5 1870
1 6 631
1 7 1040
1 8 4917
1 9 1994
1 10 2660
1 11 6838
1 12 3960
1 13 565
1 14 1473
1 15 2759
1 16 1634
1 17 5690
1 18 4787
1 19 1266
1 20 3855
1 21 5258
1 22 5575
1 23 7441
1 24 4861
1 25 5346
1 26 4863
1 27 3157
1 28 4737
1 29 3661
1 30 4217
1 31 6877
1 32 5692
1 33 3149
1 34 4679
1 35 4427
1 36 4391
1 37 4281
1 38 2537
1 39 5764
1 40 3895
1 41 2303
1 42 4985
1 43 5676
1 44 4917
1 45 2303
1 46 658
1 47 2463
1 48 6302
1 49 1166
1 50 1667
1 51 6772
1 52 1110
1 53 273
1 54 1770
1 55 7226
1 56 3134
1 57 701
1 58 6467
1 59 5878
1 60 6664
1 61 6649
1 62 2868
1 63 265
1 64 3425
1 65 2125
1 66 3777
1 67 867
1 68 379
1 69 3851
1 70 1579
2 1 812
2 3 7478
2 4 3806
2 5 6688
2 6 620
2 7 2860
2 8 2252
2 9 3147
2 10 1613
2 11 4137
2 12 7331
2 13 1094
2 14 4869
2 15 4146
2 16 1871
2 17 968
2 18 7013
2 19 2309
2 20 2586
2 21 6225
2 22 3783
2 23 2020
2 24 735
2 25 5644
2 26 5654
2 27 3218
2 28 677
2 29 1598
2 30 5870
2 31 3056
2 32 6142
2 33 5786
2 34 3486
2 35 6134
2 36 2171
2 37 419
2 38 2050
2 39 5868
2 40 1059
2 41 5138
2 42 968
2 43 5066
2 44 5735
2 45 2248
2 46 6005
2 47 1320
2 48 6707
2 49 7375
2 50 6627
2 51 616
2 52 302
2 53 6456
2 54 3614
2 55 7242
2 56 6351
2 57 7460
2 58 4906
2 59 1658
2 60 3266
2 61 2758
2 62 6251
2 63 6256
2 64 1814
2 65 1815
2 66 6223
2 67 2444
2 68 6352
2 69 3424
2 70 308
3 1 7442
3 2 4057
3 4 5533
3 5 5304
3 6 2456
3 7 1452
3 8 7410
3 9 5782
3 10 5341
3 11 1282
3 12 5250
3 13 5694
3 14 4127
3 15 4027
3 16 2950
3 17 964
3 18 526
3 19 536
3 20 5972
3 21 6363
3 22 4344
3 23 4895
3 24 4928
3 25 6691
3 26 1693
3 27 1330
3 28 4618
3 29 7226
3 30 6321
3 31 3643
3 32 3634
3 33 3481
3 34 4782
3 35 5253
3 36 6591
3 37 7209
3 38 3373
3 39 976
3 40 555
3 41 7204
3 42 6393
3 43 4923
3 44 3399
3 45 4253
3 46 601
3 47 2233
3 48 6599
3 49 2759
3 50 7186
3 51 374
3 52 4477
3 53 5532
3 54 7133
3 55 4001
3 56 3481
3 57 4306
3 58 1533
3 59 3182
3 60 7468
3 61 3722
3 62 1748
3 63 2460
3 64 5785
3 65 1818
3 66 627
3 67 3849
3 68 7415
3 69 707
3 70 969
4 1 5368
4 2 432
4 3 6460
4 5 3659
4 6 6007
4 7 6879
4 8 3628
4 9 372
4 10 6103
4 11 4369
4 12 2396
4 13 1671
4 14 1013
4 15 1412
4 16 3551
4 17 6471
4 18 5985
4 19 5014
4 20 2899
4 21 6997
4 22 1043
4 23 5988
4 24 1135
4 25 6870
4 26 4310
4 27 2466
4 28 5870
4 29 3396
4 30 1856
4 31 3188
4 32 1473
4 33 3347
4 34 1294
4 35 7047
4 36 1735
4 37 2572
4 38 5407
4 39 2278
4 40 529
4 41 3382
4 42 322
4 43 6429
4 44 5514
4 45 6416
4 46 4641
4 47 3135
4 48 31
4 49 3210
4 50 375
4 51 5952
4 52 1944
4 53 1661
4 54 1518
4 55 6654
4 56 2720
4 57 2240
4 58 6967
4 59 5671
4 60 163
4 61 6856
4 62 2504
